year,state,total_population,with_a_disability,no_disability
2018,Alaska,548676,84809,463867
2018,Maine,1105382,207186,898196
2018,North Carolina,8154786,1262808,6891978
2018,Missouri,4797181,819164,3978017
2018,Pennsylvania,10271420,1655011,8616409
2018,Michigan,7986376,1321085,6665291
2018,Nebraska,1477589,208823,1268766
2018,Oregon,3379241,546292,2832949
2018,Wyoming,449840,68715,381125
2018,California,31085639,3814600,27271039
2018,Mississippi,2296728,450946,1845782
2018,Connecticut,2884868,359465,2525403
2018,Texas,21663694,2965971,18697723
2018,Idaho,1337554,218281,1119273
2018,Maryland,4754654,629864,4124790
2018,New Mexico,1639138,308794,1330344
2018,Alabama,3854015,744005,3110010
2018,Tennessee,5330967,967898,4363069
2018,Vermont,519162,83873,435289
2018,Nevada,2385543,347649,2037894
2018,West Virginia,1459045,323275,1135770
2018,Oklahoma,3008712,589230,2419482
2018,Wisconsin,4621479,626380,3995099
2018,Puerto Rico,2661470,639396,2022074
2018,Kansas,2229203,361820,1867383
2018,Virginia,6642133,928311,5713822
2018,North Dakota,585782,76147,509635
2018,New Jersey,7080172,847859,6232313
2018,Ohio,9237632,1522390,7715242
2018,South Carolina,4012850,677329,3335521
2018,Georgia,8128931,1160698,6968233
2018,Colorado,4479249,565629,3913620
2018,Hawaii,1096009,149388,946621
2018,South Dakota,673526,98475,575051
2018,Indiana,5205600,838007,4367593
2018,Kentucky,3492675,708107,2784568
2018,Louisiana,3579169,650699,2928470
2018,Washington,5946027,878588,5067439
2018,Illinois,10040920,1309498,8731422
2018,Iowa,2464341,340104,2124237
2018,New Hampshire,1112869,165179,947690
2018,Rhode Island,865601,139254,726347
2018,Arkansas,2336993,487552,1849441
2018,Delaware,773385,118757,654628
2018,Minnesota,4395381,568725,3826656
2018,Montana,843546,131949,711597
2018,Arizona,5608516,879502,4729014
2018,Florida,17262966,2679569,14583397
2018,Massachusetts,5633413,741156,4892257
2018,District of Columbia,576927,76811,500116
2018,Utah,2305534,274419,2031115
2018,New York,15709161,2067610,13641551
2010,Maryland,4499639,537634,3962005
2010,Massachusetts,5236094,649728,4586366
2010,Michigan,7721033,1229551,6491482
2010,Minnesota,4118473,482324,3636149
2010,Mississippi,2235799,441370,1794429
2010,Missouri,4632070,759645,3872425
2010,Montana,780158,117983,662175
2010,Nebraska,1392174,192112,1200062
2010,Nevada,2081396,266107,1815289
2010,New Hampshire,1052637,133497,919140
2010,New Jersey,6880656,782613,6098043
2010,New Mexico,1573213,254946,1318267
2010,New York,15363784,1897195,13466589
2010,North Carolina,7327524,1147435,6180089
2010,North Dakota,527674,65316,462358
2010,Ohio,8960059,1394208,7565851
2010,Oklahoma,2846808,542807,2304001
2010,Oregon,3032206,490437,2541769
2010,Pennsylvania,10073120,1523026,8550094
2010,Rhode Island,842007,129890,712117
2010,South Carolina,3576916,595058,2981858
2010,South Dakota,620219,84546,535673
2010,Alabama,3703783,712483,2991300
2010,Alaska,522339,69753,452586
2010,Arizona,4861201,660460,4200741
2010,Arkansas,2237521,434987,1802534
2010,California,28633596,3401776,25231820
2010,Colorado,3864457,465914,3398543
2010,Connecticut,2805617,344221,2461396
2010,Delaware,702249,101887,600362
2010,Florida,15022650,2233196,12789454
2010,Georgia,7305810,1028667,6277143
2010,Hawaii,1045701,131489,914212
2010,Idaho,1167974,178931,989043
2010,Illinois,9916586,1199568,8717018
2010,Indiana,4973966,741098,4232868
2010,Iowa,2365768,313786,2051982
2010,Kansas,2158812,318239,1840573
2010,Kentucky,3335491,663843,2671648
2010,Louisiana,3448502,619309,2829193
2010,Maine,1074578,184889,889689
2010,Tennessee,4930840,886312,4044528
2010,Texas,18650694,2622073,16028621
2010,Utah,1962359,212885,1749474
2010,Vermont,507479,75865,431614
2010,Virginia,6169821,792219,5377602
2010,Washington,5236684,741179,4495505
2010,West Virginia,1483911,326703,1157208
2010,Wisconsin,4435576,559587,3875989
2010,Puerto Rico,2914731,669511,2245220
2010,District of Columbia,null,null,null
2010,Wyoming,null,null,null
2012,Alabama,3745704,735375,3010329
2012,Alaska,541843,74076,467767
2012,Arizona,5002260,708074,4294186
2012,Arkansas,2261248,440147,1821101
2012,California,29373640,3582919,25790721
2012,Colorado,3993851,474959,3518892
2012,Connecticut,2838303,350537,2487766
2012,Delaware,720527,102106,618421
2012,District of Columbia,522872,66661,456211
2012,Florida,15483853,2322150,13161703
2012,Georgia,7493233,1085019,6408214
2012,Hawaii,1072368,139920,932448
2012,Idaho,1197047,178205,1018842
2012,Illinois,9993612,1263738,8729874
2012,Indiana,5028118,763259,4264859
2012,Iowa,2386027,317834,2068193
2012,Kansas,2182732,313641,1869091
2012,Kentucky,3384146,675414,2708732
2012,Louisiana,3501542,631959,2869583
2012,Maine,1083135,193080,890055
2012,Maryland,4601287,557212,4044075
2012,Massachusetts,5338726,698588,4640138
2012,Michigan,7788552,1261783,6526769
2012,Minnesota,4184199,503719,3680480
2012,Mississippi,2254976,449969,1805007
2012,Missouri,4665532,787049,3878483
2012,Montana,794948,120220,674728
2012,Nebraska,1414487,178916,1235571
2012,Nevada,2132677,307555,1825122
2012,New Hampshire,1065360,140996,924364
2012,New Jersey,6970885,833172,6137713
2012,New Mexico,1593963,283596,1310367
2012,New York,15573505,1969399,13604106
2012,North Carolina,7522947,1159293,6363654
2012,North Dakota,546400,67565,478835
2012,Ohio,9024972,1432178,7592794
2012,Oklahoma,2894320,529844,2364476
2012,Oregon,3098673,504082,2594591
2012,Pennsylvania,10164729,1560188,8604541
2012,Rhode Island,844803,122877,721926
2012,South Carolina,3662992,610298,3052694
2012,South Dakota,636473,92159,544314
2012,Tennessee,5031684,903171,4128513
2012,Texas,19357659,2711989,16645670
2012,Utah,2030422,235471,1794951
2012,Vermont,512319,77474,434845
2012,Virginia,6330595,802659,5527936
2012,Washington,5382966,764040,4618926
2012,West Virginia,1485013,327991,1157022
2012,Wisconsin,4489292,595982,3893310
2012,Wyoming,null,null,null
2012,Puerto Rico,2899589,706508,2193081
2014,Alabama,3787162,734433,3052729
2014,Alaska,544897,74088,470809
2014,Arizona,5182784,791880,4390904
2014,Arkansas,2292681,461891,1830790
2014,California,30204466,3805681,26398785
2014,Colorado,4149445,526445,3623000
2014,Connecticut,2864299,366631,2497668
2014,Delaware,739724,102974,636750
2014,District of Columbia,544324,71760,472564
2014,Florida,16002140,2472292,13529848
2014,Georgia,7692298,1154017,6538281
2014,Hawaii,1092188,151579,940609
2014,Idaho,1228736,188397,1040339
2014,Illinois,10064248,1295511,8768737
2014,Indiana,5095193,833430,4261763
2014,Iowa,2420369,329960,2090409
2014,Kansas,2201966,339717,1862249
2014,Kentucky,3425028,712857,2712171
2014,Louisiana,3554454,621312,2933142
2014,Maine,1088363,197477,890886
2014,Maryland,4684980,577977,4107003
2014,Massachusetts,5445357,727683,4717674
2014,Michigan,7848850,1323421,6525429
2014,Minnesota,4260375,535546,3724829
2014,Mississippi,2273592,456191,1817401
